Trivial name|Smiles|Batch No|Conc uM|Relative cell count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster MitoStress|Cluster Na+/K+ ATPase|Cluster Protein synthesis|Cluster Pyrimidine synthesis|Cluster Tubulin|Cluster Uncoupling||
Alverine (citrate)|CCN(CCCc1ccccc1)CCCc1ccccc1|1|10|96|11.1|0|0|69.7|0|65.2|7.7|85.7|22.1|29|35.5|0|62.5|49.1||
Alverine (citrate)|CCN(CCCc1ccccc1)CCCc1ccccc1|1|30|96|40.9|0|0|79.2|0|78.6|16.2|95.8|38.9|38.4|45.3|0|71.3|47.3||
Salbutamol, Albuterol|CC(C)(C)NCC(O)c1ccc(O)c(CO)c1|1|10|94|6.4|14.7|0|52.8|0|45.7|19.3|62.1|48|13.8|33.4|0|53.3|49.8||
Salbutamol, Albuterol|CC(C)(C)NCC(O)c1ccc(O)c(CO)c1|1|30|97|15.5|0|0|69.2|0|55.9|7.5|80|34|8.2|50.4|0|63.6|51.6||
Salbutamol, Albuterol|CC(C)(C)NCC(O)c1ccc(O)c(CO)c1|2|10|100|5.2|22.1|0|54.4|0|48.1|11.7|60.6|33|23.4|34.9|0|47.7|54||
Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|1|1|67|43.9|64.5|13.2|0|94.9|0|25.2|0|29.1|0|0|83.8|0|0||
Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|1|1|64|41.3|62.9|13.8|0|94.2|0|24.5|0|29.9|0|0|81.2|0|0||
Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|1|3|63|43.7|64.7|0|0|87.7|0|32.7|0|36.1|0|0|75.7|0|0||
Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|1|3|66|41.3|65|1.3|0|89.5|0|25|0|28|0|0|79.8|0|0||
Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|1|10|63|33.3|49.3|20|0|93.1|0|8.8|0|44.5|0|0|81.1|0|0||
Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|1|30|73|38.7|66.4|4.7|0|92.4|0|10|0|23.4|0|0|84.6|0|0||
Fenbendazole|COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1|1|30|52|69.6|0|12.2|74.5|0|81.3|35.8|64.4|0|53.4|69.4|0|82|49||
Fenspiride hydrochloride|O=C1NCC2(CCN(CCc3ccccc3)CC2)O1|2|30|89|20.9|0|3.5|27.2|1.6|22.6|22.2|18.7|39.6|13.5|57.2|0|40.3|35.5||
Mebendazole|COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1|1|1|55|53.5|0|35.4|56.6|0|64.5|37.7|45.9|25.5|52.9|47.9|0|82.6|26||
Mebendazole|COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1|12|0.2|89|13.3|0|19.6|54.2|0|52.7|34.6|56.6|23.1|27|36.6|0|82.9|34.7||
Mebendazole|COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1|12|0.2|87|9.5|0|33.3|44.3|0|44.1|17.3|38.5|5.3|26.4|31.9|0|73.2|27.8||
Mebendazole|COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1|12|0.6|69|62.3|0|9.1|73.4|0|73.5|36.2|71.7|13.1|53.3|59.8|0|91|50.6||
Mebendazole|COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1|12|0.6|71|50.6|0|9.7|71.9|0|71.8|27.1|70.2|9.8|55|55.9|0|90.2|49||
Oxymetazoline hydrochloride|Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1|2|30|98|36.1|0|0|76.7|0|73.8|23.3|83.9|54|24.1|58|0|69.9|54.2||
Griseofulvin|COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O|1|30|76|29.2|0|0|72.4|0|67.4|29.6|60.3|0|55.9|50.7|0|89.5|46.9||
Griseofulvin|COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O|7|30|72|21.8|0|0|54|0|55.4|46.7|49.1|7|53.2|32.2|0|86.2|47.4||
Griseofulvin|COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O|7|30|75|36.6|0|0|75|0|72.1|35.5|63.9|11.6|58.7|52|0|93.7|48.8||
Griseofulvin|COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O|7|50|68|34.2|0|7.8|64|0|68.4|42.2|50.4|0|64.7|50.6|0|88.4|52||
Griseofulvin|COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O|7|50|58|43.5|0|0|69.9|0|69.8|41.4|61.4|23.9|60.1|61.4|0|89.8|51.6||
Clemizole hydrochloride|Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1|1|30|100|33|0|0|47|0|51.3|40.9|75.7|55.8|0|26.1|0|53.7|30.6||
Clemizole hydrochloride|Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1|2|30|92|53.9|0|0|55|0|59.5|42.7|75.5|61.7|8.9|47|0|58.6|38.3||
Phentolamine hydrochloride|Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1|1|30|93|15.7|0|0|75.5|0|70.4|11|79.6|39.8|28.9|58.8|0|77.3|43.5||
Ofloxacin|CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23|1|30|109|5.7|18.2|0|0|6.4|0|0|0|0|0|0|37.7|0|0||
Orphenadrine hydrochloride|Cc1ccccc1C(OCCN(C)C)c1ccccc1|1|30|102|25.7|0|0|73.3|0|68.6|7.8|94.3|37.6|19.2|32.8|0|65.9|41.4||
Orphenadrine hydrochloride|Cc1ccccc1C(OCCN(C)C)c1ccccc1|2|30|100|39|0|0|70.8|0|71.1|25.8|84.2|53.6|20.5|53|0|67.4|41.1||
Albendazole|CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1|1|1|58|65.8|0|0|78.5|0|75.7|24.3|62.9|16.1|62.4|67.7|0|95.1|58.8||
Clonidine hydrochloride|Clc1cccc(Cl)c1NC1=NCCN1|1|30|90|9.8|0|0|41.4|0|37.4|13.7|43.1|60.1|32.3|43.5|0|52.6|28.9||
Bupropion hydrochloride|CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1|1|30|104|8.1|0|0|39.6|0|34|0|37.8|0|6.8|18.7|0|18.6|8.3||
Alprenolol (hydrochloride)|C=CCc1ccccc1OCC(O)CNC(C)C|1|30|105|19.7|0|0|68.7|0|65.2|20.2|81.4|46.7|19.2|38.1|0|63.7|33.2||
Alprenolol (hydrochloride)|C=CCc1ccccc1OCC(O)CNC(C)C|2|30|105|81.3|0|0|37.4|10.8|31.2|29.2|37|47.4|5.5|62.5|0|52.4|48.3||
Nortriptyline (hydrochloride)|CNCCC=C1c2ccccc2CCc2ccccc21|1|3|99|15|0|4.3|66.7|0|71.1|15.8|80.3|35.6|20.9|46|0|64.6|19.1||
Nortriptyline (hydrochloride)|CNCCC=C1c2ccccc2CCc2ccccc21|1|10|105|52.3|0|0|80.8|0|77.6|0|92.1|14.8|40|53.9|0|68.5|50.6||
Nortriptyline (hydrochloride)|CNCCC=C1c2ccccc2CCc2ccccc21|2|10|98|44.2|0|0|79.5|0|76.5|0|92|12.9|39.7|47.3|0|67|44.9||
Nortriptyline (hydrochloride)|CNCCC=C1c2ccccc2CCc2ccccc21|2|30|93|80.7|0|0|89.6|0|85.5|5.6|93|27.4|52.9|61.7|0|80.9|62.8||
Niflumic acid|O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1|1|30|92|10.9|7.9|0|0|8.9|0|0|0|0|0|0|32.2|0|0||
Isotretinoin|CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1|2|10|98|6.7|1.1|0|36.1|0|32.2|0|32.9|53.7|19.9|25.3|0|34.5|29.3||
Isotretinoin|CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1|2|30|103|7.9|39.8|0|11.4|30.5|8.5|11|32.2|69.7|0|12.6|8.2|12.5|18.8||
Isotretinoin|CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1|10|2|96|7.1|25.6|0|14.7|15.8|14|2.1|23.7|30.4|0|7.6|0|26.9|25.5||
Isotretinoin|CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1|10|6|95|6.2|7.8|0|27.9|0|25.2|2.2|22.1|59.9|21.1|32.9|0|23.1|26||
Isotretinoin|CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1|10|10|98|5.9|1.5|0|49.3|0|41.2|0|48|48.7|28.4|34.2|0|48.2|38.5||
Triprolidine hydrochloride|Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1|2|30|99|19.2|0|0|43.3|0|46.4|31.5|62.6|61.8|5.5|26.1|0|50.2|12.4||
Doxepin (Hydrochloride)|CN(C)CC/C=C1\c2ccccc2COc2ccccc21|1|10|108|5.2|0|0|73.2|0|70.4|5.2|86|31.3|26.2|54.1|0|66.8|43.2||
Doxepin (Hydrochloride)|CN(C)CC/C=C1\c2ccccc2COc2ccccc21|1|30|104|36.3|0|0|73.6|0|73.4|15.1|93.6|49.3|31.8|46|0|69|46.1||
Doxepin (Hydrochloride)|CN(C)CC/C=C1\c2ccccc2COc2ccccc21|2|10|101|5.2|0|0|54|0|51.7|1|73.1|63.6|13.4|28.6|0|62.3|20.7||
Doxepin (Hydrochloride)|CN(C)CC/C=C1\c2ccccc2COc2ccccc21|2|30|101|22.6|0|0|71|0|68.6|0|90.7|35|40.3|44.6|0|59.7|33.5||
Dyclonine (hydrochloride)|CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1|1|30|106|6.9|0|0|45.8|0|45.1|13.3|59.4|57.6|19.5|22.5|0|54.3|18.8||
Clotrimazole|Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1|1|30|87|17.3|82.3|0|0|59.1|0|42.9|0|0|0|0|64.9|0|7.5||
Clotrimazole|Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1|2|30|85|40.2|49.4|0|12.1|0|12.3|59.7|23.5|56.9|10.4|33.7|2.3|25.5|41.5||
Clomipramine hydrochloride, Anafranil hydrochloride, Chloripramine|CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21|1|1|105|5.2|0|0.1|39.9|0|40.9|37.5|36.8|39.7|8.9|41.3|0|40|18.5||
Clomipramine hydrochloride, Anafranil hydrochloride, Chloripramine|CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21|1|10|93|59.4|0|0|81.5|0|77|20.4|89.8|28.8|35.6|64|0|72.2|58.7||
Clomipramine hydrochloride, Anafranil hydrochloride, Chloripramine|CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21|1|30|91|84.1|0|0|75.4|0|72|18.5|88.5|55.2|28.5|52|0|71.5|55||
Clomipramine hydrochloride, Anafranil hydrochloride, Chloripramine|CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21|2|10|94|53.7|0|0|82.2|0|78.2|13.7|91.5|26.9|40.1|52|0|68.9|56.1||
Doxylamine (succinate)|CN(C)CCOC(C)(c1ccccc1)c1ccccn1|2|30|107|5|0|10|10.2|0|5.1|45.5|8|41.5|0|27.9|0|23.4|0||
Prednisolone|C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO|1|10|105|7.8|73.3|0|0|75.4|0|6.4|0|20.6|0|0|84.2|0|0||
Fenofibrate|CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1|1|30|92|16.8|1.7|0|37.7|0|37.2|47.2|54.6|62.1|0|36.8|0|51.2|36.7||
Fenofibrate|CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1|2|30|93|33.9|0|0|55.2|0|52.2|36.3|67.8|59.1|3.8|48.9|0|66.9|38.1||
Labetalol (hydrochloride)|CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1|1|30|105|31.6|0|0|59.9|0|56.8|15.7|80.8|57.8|13.1|30|0|63.4|33||
Labetalol (hydrochloride)|CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1|2|30|94|21.9|0|0|52.2|0|56.4|34|63.5|66.6|18.1|41.9|0|60.8|27.3||
Labetalol (hydrochloride)|CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1|4|2|100|5.2|0|0|28.5|2.2|16.3|23.9|43.6|62.3|0|14.9|0|42.1|12||
Labetalol (hydrochloride)|CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1|4|6|89|10.9|0|0|68.5|0|65.4|34.3|70.2|53.8|27.7|57.7|0|71.4|42||
Cinnarizine|C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1|1|10|97|24.4|0|0|57.6|0|56.2|23.8|76.6|64.7|11.9|33.1|0|61.2|31.7||
Cinnarizine|C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1|1|30|97|9.5|0|0|46.3|0|38.6|20.5|63|66.7|2.9|32.5|0|51.1|12.4||
Cinnarizine|C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1|2|30|92|23.5|0|0.7|30|0|28|24.3|47.3|70.5|6.2|26.6|0|40.7|0||
Fludrocortisone acetate|CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3(F)[C@@H](O)C[C@@]21C|1|10|100|9.7|69.8|0|0|78.1|0|11.9|0|37.8|0|0|82|0|0||
Fludrocortisone acetate|CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3(F)[C@@H](O)C[C@@]21C|1|30|102|11.6|64.2|0|0|77.9|0|10.5|0|26.8|0|0|85.2|0|0||
Fenoterol (hydrobromide)|CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1|1|10|107|6|22.8|0|44.3|5.5|33.4|21.9|59.8|55.5|1|30.6|0|57.2|52.9||
Fenoterol (hydrobromide)|CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1|1|30|100|10.9|0|0|73.5|0|65.5|0|78.3|6.8|43.3|39|0|66.3|45.1||
Fenoterol (hydrobromide)|CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1|2|10|104|7.3|0|0|81|0|73.1|6.5|75.5|17.9|41.2|66.4|0|75.1|62.8||
Fenoterol (hydrobromide)|CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1|2|30|113|6.4|1.9|0|54.8|0|47.8|16.7|67.5|35.4|13.5|34.2|0|52.8|36||
Perhexiline maleate|C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1|1|3|108|22.5|0|0|72.4|0|73.9|2.7|82|28.9|37|61|0|64|36.2||
Spiperone|O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1|1|3|105|15|0|0|72.8|0|74.3|6.5|83.3|27.1|40.5|48.6|0|66.2|28.8||
Spiperone|O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1|1|30|98|20.4|0|0|54.5|0|47|7.6|75.4|67.3|7.5|26.7|0|62.1|16.4||
Trazodone (hydrochloride)|O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12|1|10|99|21.6|0|0|64.1|0|64.8|13.3|91.1|44.3|27|29.7|0|62.8|37.2||
Trazodone (hydrochloride)|O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12|1|30|101|61|0|0|73.5|0|72.6|3.1|94.8|39.7|36.1|47.6|0|67.7|39.9||
Trazodone (hydrochloride)|O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12|2|10|101|17.4|0|0|65.3|0|64.9|1|90.9|28.3|32.5|25.6|0|56.4|31||
Trazodone (hydrochloride)|O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12|2|30|99|50.6|0|0|70.2|0|72.7|17.5|89.9|54.4|30.5|40.8|0|68.8|38||
Pergolide (mesylate)|CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21|1|10|107|9|0|0|71.8|0|62.3|9.8|83.8|41.4|14.3|44.2|0|69.3|49.8||
Pergolide (mesylate)|CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21|1|30|97|21.1|0|0|53.9|0|52.1|28.8|71.2|67|13|37|0|58.6|32.8||
Benzydamine hydrochloride|CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12|1|10|103|18.7|0|0|70.3|0|67.7|0|88.8|27.6|31.2|39.1|0|62.5|38.1||
Benzydamine hydrochloride|CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12|1|30|98|64.1|0|0|72.6|0|73.2|16.6|91.1|57.1|31.9|49.4|0|71.8|46.9||
Mifepristone|CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C|1|30|86|31.6|13.3|0|34.6|0|26.6|52.3|42.6|56.8|5.9|41.5|0|50.8|44.4||
Econazole nitrate|Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1|1|30|91|26.6|32.2|0|38.9|0|41.3|66.4|56.2|44.7|6|42.9|0|47|55.4||
Clemastine (fumarate)|CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1|1|10|98|43.5|0|0|77.6|0|75.1|1.2|93|18.1|40.7|48.6|0|67.2|52.2||
Clemastine (fumarate)|CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1|1|30|90|80.1|0|0|78.3|0|75|18.7|91|53|36.8|51.7|0|77.9|58||
Clemastine (fumarate)|CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1|2|2|95|23.5|0|0|60.3|0|63.1|23.6|77|49.1|2.3|43|0|59.9|30.6||
Pimozide|O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1|1|10|86|83.1|0|0|82.2|0|81.6|25.5|91.2|38.4|38.1|59.4|0|76.6|62||
Pimozide|O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1|1|30|89|32|0|0|48.8|0|49.9|33.7|67.2|64.8|0|35.5|0|53.9|18.2||
Pimozide|O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1|2|3|101|30.7|0|0|55.8|0|55.4|26.9|81.8|47.9|11.8|20.9|0|50.6|24.5||
Pimozide|O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1|2|10|92|66.8|0|0|78.7|0|75.7|20.1|93.5|33.5|32.6|50.2|0|70.1|57.4||
Pimozide|O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1|2|30|79|84.1|0|0|77.2|0|78.4|36.4|79.8|51.9|36.7|63.2|0|75.9|63.2||
Mebeverine hydrochloride|CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1|1|10|110|18.1|0|0|63.7|0|65.9|18.3|90.5|48.2|27.3|26.2|0|57.4|31.5||
Mebeverine hydrochloride|CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1|1|30|101|70.1|0|0|67|0|67.3|22.8|89.1|60.2|17.9|42.2|0|66.1|38.5||
Ifenprodil tartrate|CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1|1|30|107|37.7|0|0|74.7|0|71.3|10.2|94.2|43.2|29.7|41.5|0|68.3|36.8||
Glibenclamide|COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1|2|30|104|6|0|0|53.5|0|48.2|29.7|64.5|32.7|3.2|26.5|0|50.8|28.3||
Fluphenazine dihydrochloride|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1|1|10|105|66.7|0|0|82.1|0|80.6|19.9|93.7|27.8|38|57.8|0|73.5|59.4||
Fluphenazine dihydrochloride|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1|3|3|98|7.6|0|0|80.7|0|76.5|9.1|86.8|27.4|39.9|49.3|0|70.7|43||
Fluphenazine dihydrochloride|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1|3|10|108|56.5|0|0|80.6|0|80.7|18.7|95.7|27.9|40.7|49.7|0|72.2|47.9||
Zidovudine|Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O|1|30|93|17.6|29.3|0|8.9|21.3|13.9|29.4|0|22.9|17|39.1|6.9|20.4|48.7||
N6-Methyladenosine|CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O|1|30|90|10|0|0|43.3|15.1|31.7|0|55.9|51.7|30|28.2|0|60.8|34.3||
Guanfacine (hydrochloride)|N=C(N)NC(=O)Cc1c(Cl)cccc1Cl|2|30|95|29.2|0|0|59.8|0|59.2|23.3|66.5|49.2|19.5|41.5|0|65.2|35.8||
Triamterene|Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1|1|10|106|8.1|0|0|79.3|0|74.7|24.9|74.9|11.5|36|59.4|0|68.3|67.3||
Triamterene|Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1|1|30|93|18.1|31.7|0|13|56.6|0.9|24.3|43.8|62.8|0|13.6|11.6|36.9|33.2||
Triamterene|Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1|2|10|101|11.7|0|0|84.6|0|82.3|23.4|71.8|3.6|45.6|61.9|0|75|60.3||
Triamterene|Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1|2|30|93|24.7|27.5|0|35.6|12.7|21|26.2|53.9|58.6|0|36.2|0|45.8|53.3||
Triamterene|Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1|11|6|102|6.4|0|0|81.5|0|70.2|8.8|65.1|21.1|42.9|63|0|71|63.8||
Triamterene|Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1|11|10|105|7.4|0|0|84.7|0|75.9|5.4|70|10|52.3|67.5|0|76.9|67.1||
Domperidone|O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1|1|10|103|21.8|0|0|47.9|0|57.4|49.3|70.4|53.4|7.1|35.7|0|58.4|32.7||
Domperidone|O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1|1|30|95|72.9|0|0|63.7|0|65.7|27.8|87.7|57.5|15.9|36.9|0|62.6|37.1||
Domperidone|O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1|2|10|93|12.1|0|0|45.3|0|50.3|34.3|55.6|33.7|26.2|12.1|0|51.8|4.8||
Domperidone|O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1|2|30|95|57|0|0|61|0|68.5|35.8|83.9|56.8|26.1|34.6|0|64.1|33.5||
Methapyrilene hydrochloride|CN(C)CCN(Cc1cccs1)c1ccccn1|1|30|96|5.7|0|0|31.7|0|28.4|25|52.3|50.4|0|11.2|0|38.3|10.2||
Desipramine hydrochloride|CNCCCN1c2ccccc2CCc2ccccc21|1|10|100|34.4|0|0|80.2|0|76.1|10.8|86.8|20.1|32.6|55.3|0|69.5|53||
Desipramine hydrochloride|CNCCCN1c2ccccc2CCc2ccccc21|1|30|94|82.9|0|0|77.3|0|73.3|11.5|92|52|28.7|50.5|0|71.5|52.1||
Desipramine hydrochloride|CNCCCN1c2ccccc2CCc2ccccc21|2|10|85|34.4|0|0|81.9|0|78.4|3.5|88.4|8.8|45.2|47.2|0|67.3|53.8||
Desipramine hydrochloride|CNCCCN1c2ccccc2CCc2ccccc21|2|30|84|75.3|0|0|81.9|0|77.6|9.7|94|39.4|39.6|51.6|0|74.6|56.3||
Desipramine hydrochloride|CNCCCN1c2ccccc2CCc2ccccc21|5|6|101|20.7|0|0|82.4|0|81.5|10.9|87.6|23.2|46.4|56.8|0|72.1|39.8||
Desipramine hydrochloride|CNCCCN1c2ccccc2CCc2ccccc21|5|10|101|30.1|0|0|77.1|0|74.1|12.8|85.7|30.4|37.1|46.6|0|65.6|39.2||
Clorgyline hydrochloride|C#CCN(C)CCCOc1ccc(Cl)cc1Cl|2|10|99|7.1|0|0|40.6|0|42.6|0|41.7|0|0|28.6|0|22.8|39.3||
Clorgyline hydrochloride|C#CCN(C)CCCOc1ccc(Cl)cc1Cl|2|30|107|11.6|0|0|55.8|0|60.5|20.4|35.6|0|46.3|48.9|0|58.6|50.3||
Maprotiline (hydrochloride)|CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12|1|10|98|42|0|0|77.9|0|74.2|10|92.8|20.4|35.3|47.8|0|68.7|57.3||
Maprotiline (hydrochloride)|CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12|2|10|97|36.6|0|0|78.9|0|72.8|0|92.6|21.1|34.2|51.4|0|66|49.3||
Maprotiline (hydrochloride)|CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12|2|30|91|82|0|0|83.5|0|79.6|12.5|93.1|44.5|39|55.2|0|75.7|59.5||
Chlorprothixene hydrochloride|CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21|1|10|88|53.4|0|0|79.6|0|77.3|12.2|94.3|23.8|39.3|51.7|0|70.9|54.8||
Ritodrine hydrochloride|C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1|1|30|107|7.9|0|0|75.4|0|60.9|0|77.3|38.6|28.5|45.4|0|68.7|51.4||
Dobutamine (hydrochloride)|CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1|1|30|89|15.4|8.2|0|43.5|0|39.7|45|58.7|48.9|0|35.4|0|45.2|41.4||
Dobutamine (hydrochloride)|CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1|2|30|90|15.7|0|0|38.6|0|36.1|44.1|55.4|65.2|2.8|21.6|0|46.8|18.9||
