Trivial name|Smiles|Batch No|Conc uM|Relative cell count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster MitoStress|Cluster Na+/K+ ATPase|Cluster Protein synthesis|Cluster Pyrimidine synthesis|Cluster Tubulin|Cluster Uncoupling||
Nicotinamide|NC(=O)c1cccnc1|10|0.2|96|16.2|52.8|0|29.8|25.8|25.6|13.5|52.6|7.7|0|25.4|0|31.1|66.6||
Nicotinamide|NC(=O)c1cccnc1|10|2|87|57.9|0|0|81.1|0|77|12.1|80.1|22.2|45.9|71.7|0|77.3|71.2||
Dopamine hydrochloride|NCCc1ccc(O)c(O)c1|2|10|99|5.2|7|0|59.9|0|48.7|31.6|63|48.6|16.3|39.6|0|64.6|58.8||
Dopamine hydrochloride|NCCc1ccc(O)c(O)c1|2|30|104|7.9|0|0|73|0|66|0|69.6|0|42.5|39.8|0|65.6|55.9||
Authipyrin|O=C(c1ccc2c(c1)OCCO2)C1CCN(c2ncnc3sccc23)CC1|2|10|96|5.5|46.7|0|0|66|0|7.7|0|9.9|0|0|46.7|10.1|23.3||
Reserpine, Methyl reserpate|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|2|10|97|51.3|0|0|74.2|0|75.8|36.5|84.1|46.9|35.1|50.6|0|67.9|55||
Reserpine, Methyl reserpate|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|2|30|81|74.1|0|0|77.8|0|77.3|20.4|91.7|43.3|36.1|46.5|0|71.6|59||
Reserpine, Methyl reserpate|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|3|1|106|8.1|0|0|33|0|28.4|34.5|47.3|66.8|0.1|20.6|0|39.6|5.6||
Reserpine, Methyl reserpate|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|3|3|91|5.9|0|0|31.4|0|32.8|32.4|54.7|66.7|8.5|6.3|0|34.7|4.8||
Reserpine, Methyl reserpate|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|3|10|87|42.7|0|0|70.6|0|72.3|38.5|88.1|55.3|30.3|45.9|0|65.9|49.2||
Reserpine, Methyl reserpate|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|3|30|67|80.5|0|0|68.9|0|68.9|29.1|81.3|65.6|30.2|52.3|0|70.3|55.4||
Praziquantel|O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1|3|30|97|18.1|0|0|22.5|0|22.3|39.6|42.2|74|0.6|24.3|0|35.7|0||
(S)-(+)-Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|1|1|65|22.8|31.4|41.9|0|78.9|0|7.2|0|19.4|0|0|70.1|0|0||
(S)-(+)-Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|1|3|61|39.2|52.1|8.8|0|86.5|0|6.6|0|27.3|0|0|72.8|0|0||
(S)-(+)-Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|2|10|65|28.5|43.4|32.2|0|93|0|0|0|34.4|0|0|83|0|0||
(S)-(+)-Camptothecin|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|2|30|55|39|48.7|18.4|0|87|0|11.8|0|27.9|0|0|60.2|0|0||
Cantharidin|C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1|3|3|90|51.5|0|0|82.1|0|76.6|11.1|59.3|21.1|55.5|77.9|0|83.1|47||
Nocodazole|COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1|3|0.1|67|58.2|0|0|75.9|0|75.3|25.2|61.8|7.3|57.6|67.3|0|93.9|53.5||
Nocodazole|COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1|3|0.1|69|61.3|0|0|75.2|0|74.2|30.4|57.8|2.6|61.8|66.4|0|94|57.4||
Benfluorex (hydrochloride)|CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1|2|30|98|23.5|0|0|43|0|44.2|25.6|52.9|62.9|11|36.8|0|48.5|25.1||
Colchicine|COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2|3|0.03|80|23|0|30.1|19.2|0|43.7|57.9|11.9|0|33.2|32.8|0|38.4|13.3||
Colchicine|COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2|3|0.1|51|55.8|0|13.9|51.6|0|63.9|48|50.6|0|36|60.7|0|60.7|48.9||
Berberine (chloride hydrate)|COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2|2|10|93|18.1|3.8|9.2|0|31.5|0|29.2|5.5|79.8|0|3.9|29.1|8.3|0||
Berberine (chloride hydrate)|COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2|2|30|91|25.4|0.9|5|3.8|12.6|0|23.8|21.4|94.3|7.4|12.7|0|17.2|0||
Berberine (chloride hydrate)|COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2|2|50|97|31.8|1.9|6.3|0|21.1|0|23|17.8|95|3.4|8.6|6.9|13.8|0||
Perphenazine|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1|1|3|91|10.7|0|0|77.5|0|78.6|18.4|87|39.2|40.3|52.6|0|75.8|43||
Perphenazine|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1|2|10|102|54.4|0|0|84.6|0|83.3|14.2|93.4|18.5|44.7|56.9|0|74.8|56.3||
Perphenazine|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1|3|10|85|79.1|0|0|86.4|0|82.5|3.6|90.6|19.3|44.8|57.3|0|77|61.1||
Oxybutynin Chloride|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1|2|10|105|7.3|0|0|53.1|0.1|46.9|0|77.6|27.2|14.6|13.2|0|57.7|35.8||
Oxybutynin Chloride|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1|2|30|94|42.8|0|0|73.3|0|70.7|19.2|93.8|51.4|35.4|46.1|0|72.3|49.4||
Oxybutynin Chloride|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1|3|10|103|7.3|0|0|70.4|0|67.3|10|85.2|11.7|26.6|43.7|0|62.7|41.5||
Oxybutynin Chloride|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1|3|30|104|77.2|0|0|69.2|0|69.3|31.8|83.6|62.6|25.3|51.9|0|69.2|44.8||
Flunarizine dihydrochloride|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1|2|10|107|6.2|0|0|60.7|0|55.6|10.6|72.7|51.9|20.4|38.4|0|59.6|40.4||
Flunarizine dihydrochloride|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1|2|30|100|40.1|0|0|63.8|0|55.9|1.2|89.3|51.2|18.5|29.6|0|55.5|33.8||
Flunarizine dihydrochloride|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1|3|10|99|15.9|0|0|35.3|0|31.5|23.1|59.1|68.1|0|21.3|0|39.1|0||
Flunarizine dihydrochloride|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1|3|30|100|51.5|0|0|57.6|0|55|23|73.7|63.2|19.5|38.8|0|57.7|31.4||
