Trivial Name|BatchNo|Conc uM|Smiles|Rel Cell Count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA Synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster Na+/K+ ATPase|Cluster Protein Synthesis|Cluster Pyrimidine Synthesis|Cluster Tubulin|Cluster Uncoupling
3-Amino-1-propanesulfonic acid sodium|1|10.0|NCCCS(=O)(=O)O|105|12.8|52.2|0.0|10.1|18.3|3.3|0.0|24.6|0.0|0.0|7.6|5.2|44.9
5-(N,N-Dimethyl)amiloride hydrochloride, DMA|1|30.0|CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl|82|10.5|25.0|31.5|0.0|50.8|0.0|27.4|0.0|0.0|0.0|60.4|0.0|0.0
Azathioprine|1|10.0|Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12|98|6.7|37.3|0.0|32.3|6.0|26.2|0.0|46.1|15.9|12.0|0.0|32.0|54.7
L-732,138|1|30.0|CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1|91|7.6|0.0|2.3|52.0|0.0|51.0|0.0|43.9|52.4|51.4|0.0|60.1|44.7
4-Androsten-4-ol-3,17-dione, 4-OH-A|1|10.0|CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCC2=O|96|16.2|0.0|0.0|67.9|0.0|71.3|0.0|85.8|41.1|30.8|0.0|56.0|38.4
4-Androsten-4-ol-3,17-dione, 4-OH-A|1|30.0|CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCC2=O|100|33.7|0.0|0.0|64.8|0.0|62.4|9.7|89.8|27.1|31.7|0.0|65.1|34.9
A-315456|1|30.0|CCS(=O)(=O)Nc1cccc(C(=C2CCCCC2)c2cnc[nH]2)c1|93|39.4|2.5|0.0|54.4|0.0|57.3|32.0|75.4|18.6|52.2|0.0|57.1|51.8
Actinonin|1|30.0|CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N1CCC[C@H]1CO)C(C)C|96|13.6|32.5|0.0|20.6|17.9|8.3|29.8|39.1|3.0|31.1|0.0|36.9|23.7
Amperozide hydrochloride|1|30.0|CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1|92|48.4|0.0|0.0|58.6|0.0|63.2|38.2|81.4|15.6|39.1|0.0|62.2|34.8
Allopurinol|1|30.0|Oc1ncnc2[nH]ncc12|103|5.2|34.3|0.0|0.0|17.0|0.0|0.0|0.0|5.8|0.0|34.0|0.0|0.0
Ancitabine hydrochloride, Cyclocytidine hydrochloride, Cyclo-C|1|10.0|N=c1ccn2c(n1)OC1[C@@H](O)[C@@H](CO)O[C@H]12|68|33.5|58.5|17.1|0.0|97.5|0.0|0.0|0.0|0.0|0.0|78.6|0.0|0.0
Ancitabine hydrochloride, Cyclocytidine hydrochloride, Cyclo-C|1|30.0|N=c1ccn2c(n1)OC1[C@@H](O)[C@@H](CO)O[C@H]12|61|31.3|58.2|21.0|0.0|96.7|0.0|0.2|0.0|0.0|0.0|77.4|0.0|0.0
L(-)-Norepinephrine bitartrate, (-)-Arterenol bitartrate, Noradrenaline bitartrate|1|30.0|NC[C@H](O)c1ccc(O)c(O)c1|106|7.9|0.0|0.0|75.2|0.0|65.1|11.8|76.5|26.0|57.1|0.0|69.1|61.2
5-(N,N-hexamethylene)amiloride|1|10.0|NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N|102|23.1|3.8|0.0|54.6|0.0|54.9|33.9|78.6|0.0|26.9|0.0|55.6|48.1
Amsacrine (hydrochloride)|1|10.0|COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12|61|44.7|13.1|46.8|0.0|75.7|0.0|6.0|13.4|0.0|0.0|41.7|0.0|0.0
Antozoline hydrochloride|1|30.0|c1ccc(CN(Cc2ncc[nH]2)c2ccccc2)cc1|92|12.8|0.0|0.0|66.8|0.0|66.5|25.4|90.0|16.3|44.2|0.0|63.8|48.1
Bromoacetyl alprenolol menthane|1|3.0|C=CCc1ccccc1OCC(O)CN[C@]1(C)CCC[C@H](C(C)(C)NC(=O)CBr)C1|86|14.2|0.0|0.0|80.2|0.0|76.5|19.4|88.5|38.5|61.3|0.0|77.6|59.5
Benoxathian hydrochloride|1|30.0|COc1cccc(OC)c1OCCNCC1CSc2ccccc2O1|95|34.5|0.0|0.0|45.1|0.0|51.8|37.3|71.0|8.3|24.0|0.0|52.4|21.4
R(+)-6-Bromo-APB hydrobromide|1|30.0|C=CCN1CCc2c(cc(O)c(O)c2Br)[C@@H](c2ccccc2)C1|95|10.0|21.6|26.0|0.0|78.3|0.0|17.8|14.7|0.0|0.0|44.9|0.0|0.0
BTCP hydrochloride|1|30.0|c1ccc2sc(C3(N4CCCCC4)CCCCC3)cc2c1|100|37.8|0.0|0.0|58.9|0.0|60.3|26.4|80.3|18.3|40.7|0.0|60.2|25.6
(±)-Butaclamol hydrochloride, AY 23028|1|30.0|CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1|88|67.0|0.0|0.0|69.8|0.0|68.9|30.6|83.5|29.6|46.6|0.0|67.7|44.9
(±)-Butaclamol hydrochloride, AY 23028|2|10.0|CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1|104|43.5|0.0|0.0|76.5|0.0|72.6|12.3|93.9|31.3|47.0|0.0|66.7|54.3
(±)-Butaclamol hydrochloride, AY 23028|2|30.0|CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1|92|82.2|0.0|0.0|73.9|0.0|72.0|28.0|85.6|30.9|55.8|0.0|72.3|51.2
BRL 37344 sodium|1|30.0|CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1cccc(Cl)c1|109|12.6|0.0|0.0|49.1|0.0|44.1|19.3|66.5|11.6|34.7|0.0|51.1|27.4
BW 723C86|1|10.0|CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12|102|33.2|0.0|0.0|76.9|0.0|72.2|5.5|94.3|35.9|43.5|0.0|65.4|48.2
BW 723C86|1|30.0|CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12|84|78.8|0.0|0.0|78.3|0.0|75.3|26.1|90.4|36.0|58.1|0.0|77.4|58.8
Beclomethasone|1|10.0|C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO|106|9.3|65.3|7.1|0.0|80.8|0.0|12.9|0.0|0.0|0.0|89.0|0.0|0.0
(+)-Bromocriptine methanesulfonate|1|10.0|CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12|97|9.8|0.0|0.0|32.1|0.0|38.5|45.5|50.7|18.6|15.5|0.0|34.1|0.6
(+)-Bromocriptine methanesulfonate|1|30.0|CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12|91|28.2|0.6|0.0|43.8|0.0|38.9|45.6|53.0|19.3|27.3|0.0|49.8|31.6
Benazoline oxalate|1|30.0|Cc1sc2ccccc2c1CC1=NCCN1|89|10.0|0.0|0.0|33.5|0.0|38.9|31.6|59.0|0.0|19.9|0.0|34.5|16.7
BWB70C|1|30.0|CC(/C=C/c1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O|86|19.3|0.0|0.0|51.3|0.0|45.8|37.1|70.1|19.5|38.0|0.0|75.1|49.5
5-Bromo-2'-deoxyuridine, Br-dU|1|10.0|O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br|95|16.4|68.2|0.0|0.0|85.0|0.0|0.0|0.0|0.0|0.0|59.1|0.0|10.2
5-Bromo-2'-deoxyuridine, Br-dU|1|30.0|O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br|103|15.7|65.4|0.0|0.0|85.1|0.0|3.5|0.0|0.0|0.0|62.9|0.0|6.2
(+)-Brompheniramine maleate, Dexbrompheniramine maleate|1|30.0|CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1|98|6.6|0.0|0.6|34.3|0.0|37.1|31.4|36.4|6.7|27.5|0.0|37.3|0.0
BRL 52537 hydrochloride|1|10.0|O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCC1|96|11.7|0.0|0.0|72.5|0.0|67.1|17.3|76.1|36.3|39.4|0.0|67.8|50.5
BRL 52537 hydrochloride|1|30.0|O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCC1|95|57.3|0.0|0.0|82.8|0.0|80.2|17.7|92.6|40.8|54.1|0.0|74.6|50.4
BAY 11-7085|1|10.0|CC(C)(C)c1ccc(S(=O)(=O)/C=C/C#N)cc1|92|6.9|16.9|24.0|0.0|65.6|0.0|7.6|2.0|0.0|8.0|16.8|22.4|1.8
Betamethasone, 9alpha-Fluoro-16beta-methylprednisolone|1|10.0|C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO|93|10.9|75.9|1.3|0.0|82.1|0.0|11.7|0.0|0.0|0.0|90.9|0.0|0.0
Brefeldin A from Penicillium brefeldianum, BFA, Ascotoxin, Cyanein|1|1.0|C[C@H]1CCC/C=C/C2C[C@H](O)C[C@@]2(O)C/C=C/C(=O)O1|62|77.5|0.0|0.0|82.0|0.0|78.1|26.2|64.3|56.4|68.2|0.0|80.1|81.9
Brefeldin A from Penicillium brefeldianum, BFA, Ascotoxin, Cyanein|1|3.0|C[C@H]1CCC/C=C/C2C[C@H](O)C[C@@]2(O)C/C=C/C(=O)O1|67|84.1|0.0|0.0|81.3|0.0|78.3|33.6|63.2|51.4|76.0|0.0|79.0|80.7
Budesonide|1|30.0|CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1|104|34.5|0.0|0.0|58.1|0.0|54.8|48.8|58.5|25.1|38.3|0.0|63.5|41.6
8-Bromo-cAMP sodium|1|30.0|Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)O[C@@H]2C1O|97|5.2|0.0|0.0|62.6|0.0|53.4|49.2|52.5|22.0|65.8|0.0|72.7|59.8
Benztropine mesylate|1|10.0|CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2|100|7.4|0.0|0.0|66.6|0.0|64.4|6.3|88.2|30.0|32.1|0.0|59.0|25.9
Benztropine mesylate|1|30.0|CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2|97|63.2|0.0|0.0|69.5|0.0|72.9|22.7|87.9|30.7|42.8|0.0|67.0|42.8
BP 897|1|30.0|COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1|81|84.6|0.0|0.0|74.2|0.0|76.1|25.2|87.6|32.5|49.9|0.0|72.6|42.4
BRL 15572|1|30.0|OC(CN1CCN(c2cccc(Cl)c2)CC1)C(c1ccccc1)c1ccccc1|100|19.3|0.0|0.0|26.4|0.0|26.9|42.1|37.0|1.7|10.3|0.0|35.8|0.0
OXA-22 iodide|1|30.0|C[C@@H]1O[C@H](C[N+](C)(C)C)CS1|99|17.4|0.0|10.9|27.3|0.0|26.9|12.6|18.3|20.2|54.3|0.0|36.4|31.1
CGS-12066A maleate|1|10.0|CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1|105|19.3|0.0|0.0|80.6|0.0|76.7|8.7|88.4|42.8|44.5|0.0|70.6|42.9
CGS-12066A maleate|1|30.0|CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1|98|81.7|0.0|0.0|79.8|0.0|78.1|24.0|88.6|35.8|58.2|0.0|74.2|54.0
SKF-82958 (hydrobromide)|1|30.0|C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1|96|17.1|27.1|22.8|0.0|79.7|0.0|22.5|0.0|0.0|0.0|70.2|0.0|0.0
CGS-21680 hydrochloride|1|30.0|CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)[C@H]1O|101|13.3|0.0|0.0|33.8|0.0|33.1|27.2|43.3|11.4|14.1|0.0|36.4|8.4
Capsazepine|1|10.0|Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2|100|9.0|0.0|0.0|54.7|0.0|57.4|56.7|57.8|23.7|47.5|0.0|61.0|53.0
Capsazepine|1|30.0|Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2|86|8.1|0.0|0.0|35.2|0.0|53.9|63.9|41.8|13.5|43.2|0.0|50.4|35.7
8-(3-Chlorostyryl)caffeine, CSC|1|30.0|Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O|110|5.0|9.9|0.0|0.0|0.0|0.0|18.5|16.6|0.0|0.0|10.2|0.0|0.0
CGS 15943|1|10.0|Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12|94|14.2|52.0|0.0|39.1|0.0|38.7|18.0|59.2|18.8|20.8|0.0|32.7|59.8
CGS 15943|1|30.0|Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12|86|34.2|30.2|0.0|57.3|0.0|61.8|46.9|71.6|17.6|55.5|0.0|55.1|68.4
CGS 15943|9|10.0|Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12|102|9.3|34.5|0.0|51.3|0.0|47.9|37.9|70.9|5.3|45.9|0.0|54.8|71.9
CGS 15943|10|2.0|Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12|98|8.8|0.0|0.0|74.0|0.0|76.6|1.0|66.8|51.1|39.8|0.0|60.7|57.9
CGS 15943|10|10.0|Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12|84|11.1|30.7|0.0|42.1|1.2|41.3|33.5|71.9|0.0|22.0|0.0|45.5|56.4
CGS 15943|10|30.0|Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12|94|38.2|47.0|0.0|50.5|0.0|48.3|41.1|68.5|8.7|56.0|0.0|49.1|73.0
CGS 15943|10|50.0|Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12|91|40.2|43.5|0.0|48.4|0.0|46.9|39.4|61.7|11.2|57.3|0.0|47.2|72.1
CGP 20712A methanesulfonate|1|30.0|Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1|84|5.5|0.0|6.5|51.5|0.0|62.1|20.8|59.1|31.5|35.1|0.0|55.9|17.2
Chloro-IB-MECA|1|10.0|CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4ccc(I)cc4)nc(Cl)nc32)[C@H](O)[C@@H]1O|107|7.1|0.0|0.0|73.9|0.0|74.6|15.7|80.4|48.1|46.4|0.0|66.1|51.7
Chloro-IB-MECA|1|30.0|CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4ccc(I)cc4)nc(Cl)nc32)[C@H](O)[C@@H]1O|87|29.7|0.0|0.0|73.1|0.0|73.1|35.1|71.4|46.0|51.0|0.0|67.5|64.9
6-Chloromelatonin|1|30.0|COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl|104|21.4|0.0|0.0|79.5|0.0|73.8|22.2|79.1|37.6|57.1|0.0|77.3|53.4
PK 11195|1|30.0|CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1|98|14.5|0.0|0.0|17.7|2.9|7.1|42.2|38.9|0.0|14.5|0.0|38.7|7.2
CGP-7930|1|30.0|CC(C)(CO)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1|97|12.3|0.0|0.0|59.5|0.0|52.8|20.3|60.9|31.0|46.6|0.0|65.5|41.3
CGP-13501|1|10.0|CC(C)(C=O)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1|97|6.4|0.0|0.0|60.0|0.0|54.7|18.0|61.8|16.6|34.6|0.0|68.8|57.5
CGP-13501|1|30.0|CC(C)(C=O)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1|108|10.9|12.9|0.0|54.2|0.0|51.6|24.9|46.7|30.3|45.8|0.0|43.8|48.3
ML-9|1|30.0|O=S(=O)(c1cccc2c(Cl)cccc12)N1CCCNCC1|99|70.8|0.0|0.0|74.4|0.0|69.1|17.2|89.4|24.4|56.0|0.0|74.2|54.1
1-(4-Chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid|1|30.0|COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Cl)cc1|93|6.0|0.0|0.0|70.7|0.0|63.0|2.5|67.8|50.5|51.4|0.0|70.4|47.8
Chlorprothixene hydrochloride|1|10.0|CN(C)CC/C=C1/c2ccccc2Sc2cc(Cl)ccc21|105|31.8|0.0|0.0|74.1|0.0|68.9|6.2|93.9|36.7|39.7|0.0|62.4|50.3
CB 1954|1|30.0|NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-]|82|6.9|31.8|48.3|0.0|71.4|0.0|5.4|0.0|0.0|0.0|67.7|0.0|0.0
CGP-74514A hydrochloride|1|10.0|CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3N)nc21|56|68.7|0.0|0.0|62.3|0.0|59.4|19.5|82.4|37.5|21.7|0.0|68.2|35.6
Cyproterone acetate|1|30.0|CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C|92|29.2|0.0|0.0|38.9|0.0|50.0|45.9|62.1|8.6|27.1|0.0|44.5|17.9
Cyclosporin A, Antibiotic S 7481F1|1|30.0|C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C|88|29.4|45.1|0.0|3.9|29.5|0.0|46.9|21.9|0.0|14.2|24.3|28.5|34.0
Cyclosporin A, Antibiotic S 7481F1|4|10.0|C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C|92|20.0|47.6|0.0|0.0|55.9|0.0|58.0|0.0|0.0|8.1|52.4|0.0|10.1
Cyclosporin A, Antibiotic S 7481F1|5|10.0|C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C|87|20.6|26.9|0.0|33.2|0.0|31.3|51.4|35.4|7.3|41.6|0.0|43.9|55.3
Cyclosporin A, Antibiotic S 7481F1|5|30.0|C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C|83|29.7|35.1|0.0|47.2|0.0|48.4|53.5|39.3|22.0|60.3|0.0|50.7|79.0
Cyclosporin A, Antibiotic S 7481F1|5|50.0|C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C|87|39.4|47.4|0.0|29.2|0.0|29.6|63.8|28.4|6.2|51.2|0.0|40.5|70.4
8-(4-Chlorophenylthio)-cAMP sodium|1|30.0|Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2C1OC2COP(=O)(O)O[C@@H]2[C@@H]1O|94|11.6|0.0|0.0|57.0|0.0|50.6|13.7|68.5|27.8|36.1|0.0|59.4|32.2
CNS-1102, Cerestat, Aptiganel hydrochloride|1|10.0|CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1|102|7.8|0.0|0.0|52.5|0.0|52.7|13.3|77.5|15.2|7.9|0.0|49.3|37.7
CNS-1102, Cerestat, Aptiganel hydrochloride|1|30.0|CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1|96|53.7|0.0|0.0|68.1|0.0|69.4|25.8|92.6|24.8|38.4|0.0|66.6|46.5
9-cyclopentyladenine, 9-CP-Ade|1|30.0|Nc1ncnc2c1ncn2C1CCCC1|97|5.4|38.4|0.0|15.5|46.5|3.8|0.0|29.8|2.0|9.4|3.1|25.1|48.9
(+)-Chlorpheniramine maleate|1|30.0|CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1|90|18.0|0.0|0.0|57.1|0.0|60.7|19.9|83.2|17.1|33.6|0.0|55.1|22.4
2-CADO|1|30.0|Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)C1O|84|34.5|49.5|0.0|25.2|33.2|15.5|10.7|30.6|5.0|31.3|0.0|43.8|71.6
7-Chloro-4-hydroxy-2-phenyl-1,8-naphthyridine|1|10.0|Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12|77|45.4|0.0|0.0|66.8|0.0|59.3|27.7|63.4|41.7|40.8|0.0|88.3|59.1
7-Chloro-4-hydroxy-2-phenyl-1,8-naphthyridine|1|30.0|Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12|63|61.1|0.0|0.0|77.6|0.0|70.4|28.1|68.8|52.6|57.6|0.0|94.9|66.3
Cytosine-1-beta-D-arabinofuranoside hydrochloride, Arabinocytidine hydrochloride, Arabinosylcytosine hydrochloride, Ara-C hydrochloride|1|10.0|Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1|63|29.4|57.2|18.4|0.0|97.7|0.0|0.0|0.0|0.0|0.0|75.9|0.0|0.0
Cytosine-1-beta-D-arabinofuranoside hydrochloride, Arabinocytidine hydrochloride, Arabinosylcytosine hydrochloride, Ara-C hydrochloride|1|30.0|Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1|66|34.9|58.2|19.7|0.0|97.1|0.0|0.0|0.0|0.0|0.0|79.6|0.0|0.0
Cefaclor|1|30.0|NC(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1|81|7.1|0.0|2.7|33.9|18.6|27.5|4.7|41.1|21.1|34.9|0.0|56.2|22.6
McN-A-343|1|30.0|C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1|92|8.8|0.0|7.1|33.8|0.0|26.8|26.3|36.3|20.0|33.7|0.0|55.0|24.1
N-(2-[4-(4-Chlorophenyl)piperazin-1-yl]ethyl)-3-methoxybenzamide|1|30.0|COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1|96|17.8|0.0|0.0|28.2|0.0|27.4|39.3|45.3|0.0|12.6|0.0|42.1|11.2
Calcimycin, A23187, Calcium ionophore A23187|1|10.0|CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O|57|60.3|3.4|0.0|33.9|0.0|37.0|45.6|35.1|24.7|46.5|0.0|36.8|30.9
Calcimycin, A23187, Calcium ionophore A23187|3|0.1|CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O|83|6.6|0.0|1.7|59.9|0.0|60.2|32.0|56.2|34.6|61.4|0.0|65.4|41.1
Calcimycin, A23187, Calcium ionophore A23187|3|0.3|CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O|75|61.1|0.0|0.0|57.0|0.0|60.2|39.9|56.7|41.4|56.4|0.0|60.1|43.2
Calcimycin, A23187, Calcium ionophore A23187|3|1.0|CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O|62|75.0|0.0|0.0|64.4|0.0|67.0|47.7|60.1|49.9|62.5|0.0|69.1|64.8
Calcimycin, A23187, Calcium ionophore A23187|3|3.0|CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O|58|71.7|0.0|0.0|69.5|0.0|69.4|41.5|59.1|49.6|62.5|0.0|67.3|61.4
Cantharidin|1|3.0|CC12C(=O)OC(=O)C1(C)C1CCC2O1|93|39.7|0.0|0.0|82.6|0.0|74.7|7.3|63.6|50.3|74.1|0.0|85.1|51.6
Cantharidin|1|10.0|CC12C(=O)OC(=O)C1(C)C1CCC2O1|77|83.9|0.0|0.0|89.6|0.0|88.3|5.6|72.3|62.8|65.7|0.0|87.6|55.4
Cantharidic Acid|1|3.0|CC1(C(=O)O)C2CCC(O2)C1(C)C(=O)O|91|44.7|0.0|0.0|87.3|0.0|80.2|0.0|63.9|60.8|72.0|0.0|83.8|56.6
Caffeic acid phenethyl ester|1|10.0|O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1|91|8.5|29.1|0.0|22.4|0.0|23.5|38.0|18.6|7.6|33.9|0.0|27.3|48.4
Caffeic acid phenethyl ester|1|30.0|O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1|67|29.2|0.0|36.9|0.0|57.7|0.0|41.2|13.5|0.0|7.5|22.5|31.9|0.0
Cephradine, Cefradin, SQ-11436|1|10.0|CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(N)C3=CCC=CC3)[C@H]2SC1|103|5.4|0.0|5.0|56.6|0.0|61.0|20.9|26.7|45.3|44.8|0.0|47.0|34.5
Clemastine fumarate|1|10.0|CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1|91|52.5|0.0|0.0|79.6|0.0|74.8|7.4|94.4|39.3|44.3|0.0|67.8|53.9
Pyrocatechol, Catechol|1|10.0|Oc1ccccc1O|78|12.1|51.3|0.0|0.0|61.5|0.0|18.8|0.0|0.0|0.0|44.3|0.0|4.3
Pyrocatechol, Catechol|1|30.0|Oc1ccccc1O|72|23.8|50.8|29.1|0.0|95.2|0.0|12.2|0.0|0.0|0.0|79.3|0.0|0.0
