Trivial Name|BatchNo|Conc uM|Smiles|Rel Cell Count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA Synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster Na+/K+ ATPase|Cluster Protein Synthesis|Cluster Pyrimidine Synthesis|Cluster Tubulin|Cluster Uncoupling
Trequinsin hydrochloride HL 725|2|30.0|COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2|106|46.3|0.0|0.0|63.6|0.0|63.9|32.5|75.7|21.8|43.3|0.0|65.8|48.4
Nicotinamide|10|0.2|NC(=O)c1cccnc1|96|16.2|52.8|0.0|29.8|25.8|25.6|13.5|52.6|0.0|25.4|0.0|31.1|66.6
Nicotinamide|10|2.0|NC(=O)c1cccnc1|87|57.9|0.0|0.0|81.1|0.0|77.0|12.1|80.1|45.9|71.7|0.0|77.3|71.2
Dopamine hydrochloride|2|10.0|NCCc1ccc(O)c(O)c1|99|5.2|7.0|0.0|59.9|0.0|48.7|31.6|63.0|16.3|39.6|0.0|64.6|58.8
Dopamine hydrochloride|2|30.0|NCCc1ccc(O)c(O)c1|104|7.9|0.0|0.0|73.0|0.0|66.0|0.0|69.6|42.5|39.8|0.0|65.6|55.9
Authipyrin|2|10.0|O=C(c1ccc2c(c1)OCCO2)C1CCN(c2ncnc3sccc23)CC1|96|5.5|46.7|0.0|0.0|66.0|0.0|7.7|0.0|0.0|0.0|46.7|10.1|23.3
Reserpine, Methyl reserpate|2|10.0|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|97|51.3|0.0|0.0|74.2|0.0|75.8|36.5|84.1|35.1|50.6|0.0|67.9|55.0
Reserpine, Methyl reserpate|2|30.0|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|81|74.1|0.0|0.0|77.8|0.0|77.3|20.4|91.7|36.1|46.5|0.0|71.6|59.0
Reserpine, Methyl reserpate|3|1.0|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|106|8.1|0.0|0.0|33.0|0.0|28.4|34.5|47.3|0.1|20.6|0.0|39.6|5.6
Reserpine, Methyl reserpate|3|3.0|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|91|5.9|0.0|0.0|31.4|0.0|32.8|32.4|54.7|8.5|6.3|0.0|34.7|4.8
Reserpine, Methyl reserpate|3|10.0|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|87|42.7|0.0|0.0|70.6|0.0|72.3|38.5|88.1|30.3|45.9|0.0|65.9|49.2
Reserpine, Methyl reserpate|3|30.0|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC|67|80.5|0.0|0.0|68.9|0.0|68.9|29.1|81.3|30.2|52.3|0.0|70.3|55.4
Praziquantel|3|30.0|O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1|97|18.1|0.0|0.0|22.5|0.0|22.3|39.6|42.2|0.6|24.3|0.0|35.7|0.0
(S)-(+)-Camptothecin|1|1.0|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|65|22.8|31.4|41.9|0.0|78.9|0.0|7.2|0.0|0.0|0.0|70.1|0.0|0.0
(S)-(+)-Camptothecin|1|3.0|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|61|39.2|52.1|8.8|0.0|86.5|0.0|6.6|0.0|0.0|0.0|72.8|0.0|0.0
(S)-(+)-Camptothecin|2|10.0|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|65|28.5|43.4|32.2|0.0|93.0|0.0|0.0|0.0|0.0|0.0|83.0|0.0|0.0
(S)-(+)-Camptothecin|2|30.0|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1|55|39.0|48.7|18.4|0.0|87.0|0.0|11.8|0.0|0.0|0.0|60.2|0.0|0.0
Cantharidin|3|3.0|C[C@]12C(=O)OC(=O)[C@@]1(C)[C@@H]1CC[C@H]2O1|90|51.5|0.0|0.0|82.1|0.0|76.6|11.1|59.3|55.5|77.9|0.0|83.1|47.0
Nocodazole|3|0.1|COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1|67|58.2|0.0|0.0|75.9|0.0|75.3|25.2|61.8|57.6|67.3|0.0|93.9|53.5
Nocodazole|3|0.1|COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1|69|61.3|0.0|0.0|75.2|0.0|74.2|30.4|57.8|61.8|66.4|0.0|94.0|57.4
Benfluorex (hydrochloride)|2|30.0|CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1|98|23.5|0.0|0.0|43.0|0.0|44.2|25.6|52.9|11.0|36.8|0.0|48.5|25.1
